Model,AUC (predict),TP,TN,FP,FN,Accuracy,Precision,Recall,Specificity,F1-score
RF,0.5,31511,0,22938,0,0.5787,0.5787,1.0,0.0,0.7332
GBT,0.4969,30841,347,22591,670,0.5728,0.5772,0.9787,0.0151,0.7262
XGB,0.5002,31461,44,22894,50,0.5786,0.5788,0.9984,0.0019,0.7328
SVM-RBF,0.8596,26713,19991,2947,4798,0.8578,0.9006,0.8477,0.8715,0.8734
TCR-Hβ,0.9204,16260,31247,974,2406,0.9336,0.9435,0.8711,0.9698,0.9058
TCR-HβE,0.876,27894,19883,3055,3617,0.8775,0.9013,0.8852,0.8668,0.8932
TCR-RS,0.9133,18217,28772,642,3257,0.9234,0.966,0.8483,0.9782,0.9033
TCR-HE,0.8735,27578,19999,2939,3933,0.8738,0.9037,0.8752,0.8719,0.8892
